id,categoryId,code,name,description,createdAt,updatedAt
45,8,BC045,Ice Cream Spoon,,2025-11-02T18:26:30,2025-11-02T18:26:30
46,8,BC046,HBD Light (Dim Light),,2025-11-02T18:26:30,2025-11-02T18:26:30
47,9,BC047,Cap,,2025-11-02T18:26:30,2025-11-02T18:26:30
48,9,BC048,Hat,,2025-11-02T18:26:30,2025-11-02T18:26:30
49,9,BC049,Crown,,2025-11-02T18:26:30,2025-11-02T18:26:30
50,10,BF050,"Shimmer (Heart, red & pink)",,2025-11-02T18:26:30,2025-11-02T18:26:30
51,10,BF051,"Shimmer (Hexa, black)",,2025-11-02T18:26:30,2025-11-02T18:26:30
52,10,BF052,"Shimmer (Hexa, silve)",,2025-11-02T18:26:30,2025-11-02T18:26:30
53,10,BF053,"Shimmer (Hexa, golden)",,2025-11-02T18:26:30,2025-11-02T18:26:30
54,10,BF054,HBD light,,2025-11-02T18:26:30,2025-11-02T18:26:30
55,10,BF055,Ribbon,,2025-11-02T18:26:30,2025-11-02T18:26:30
56,10,BF056,Banner,,2025-11-02T18:26:30,2025-11-02T18:26:30
57,10,BF057,Table Cloth,,2025-11-02T18:26:30,2025-11-02T18:26:30
58,10,BF058,ምንጣፍ ትልቁ,,2025-11-02T18:26:30,2025-11-02T18:26:30
59,10,BF059,Foil Curtain,,2025-11-02T18:26:30,2025-11-02T18:26:30
60,10,BF060,Decoration flower,,2025-11-02T18:26:30,2025-11-02T18:26:30
61,10,BF061,Birthday Cheer Ball,,2025-11-02T18:26:30,2025-11-02T18:26:30
62,11,M062,Character Mask,,2025-11-02T18:26:30,2025-11-02T18:26:30
63,11,M063,Eye Glass Mask,,2025-11-02T18:26:30,2025-11-02T18:26:30
64,12,IT064,Snow Spray,,2025-11-02T18:26:30,2025-11-02T18:26:30
65,12,IT065,Fountain,,2025-11-02T18:26:30,2025-11-02T18:26:30
66,12,IT066,Fire Sparkle Cadle,,2025-11-02T18:26:30,2025-11-02T18:26:30
67,12,IT067,Popper Party (የወረቀት ርችት),,2025-11-02T18:26:30,2025-11-02T18:26:30
68,13,SS068,Mom to be,,2025-11-02T18:26:30,2025-11-02T18:26:30
69,13,SS069,Bride to be,,2025-11-02T18:26:30,2025-11-02T18:26:30
70,13,SS070,Congratulations,,2025-11-02T18:26:30,2025-11-02T18:26:30
71,14,B071,It's a girl,,2025-11-02T18:26:30,2025-11-02T18:26:30
72,14,B072,Mom to be,,2025-11-02T18:26:30,2025-11-02T18:26:30
73,14,B073,Happy Birthday,,2025-11-02T18:26:30,2025-11-02T18:26:30
74,15,T074,Mom to be,,2025-11-02T18:26:30,2025-11-02T18:26:30
75,16,WC075,Black Big,,2025-11-02T18:26:30,2025-11-02T18:26:30
76,16,WC076,Black Small,,2025-11-02T18:26:30,2025-11-02T18:26:30
77,16,WC077,Golden Smal,,2025-11-02T18:26:30,2025-11-02T18:26:30
78,17,B078,Flying Ball,,2025-11-02T18:26:30,2025-11-02T18:26:30
79,17,B079,ስፌት ኳስ,,2025-11-02T18:26:30,2025-11-02T18:26:30
80,17,B080,Water Ball,,2025-11-02T18:26:30,2025-11-02T18:26:30
81,18,WE081,Minnie Watch,,2025-11-02T18:26:30,2025-11-02T18:26:30
82,18,WE082,Eye Glass (100 birr),,2025-11-02T18:26:30,2025-11-02T18:26:30
83,18,WE083,Eye Glass (65 birr),,2025-11-02T18:26:30,2025-11-02T18:26:30
84,19,GB084,Grid Box (2 pc),,2025-11-02T18:26:30,2025-11-02T18:26:30
85,19,GB085,Grid Box (3 pc),,2025-11-02T18:26:30,2025-11-02T18:26:30
86,20,TC086,Racing car (small),,2025-11-02T18:26:30,2025-11-02T18:26:30
87,20,TC087,Plane,,2025-11-02T18:26:30,2025-11-02T18:26:30
88,20,TC088,Remote car,,2025-11-02T18:26:30,2025-11-02T18:26:30
89,20,TC089,Truck,,2025-11-02T18:26:30,2025-11-02T18:26:30
90,20,TC090,Helicopter ጋሪ,,2025-11-02T18:26:30,2025-11-02T18:26:30
91,20,TC091,Plane (አውሮፕላን),,2025-11-02T18:26:30,2025-11-02T18:26:30
92,20,TC092,ጎማ ጋሪ,,2025-11-02T18:26:30,2025-11-02T18:26:30
93,20,TC093,Stunt Car Small,,2025-11-02T18:26:30,2025-11-02T18:26:30
94,20,TC094,Stunt Car Big,,2025-11-02T18:26:30,2025-11-02T18:26:30
95,20,TC095,XF Emulated Car 2,,2025-11-02T18:26:30,2025-11-02T18:26:30
96,20,TC096,Friction Car 2,,2025-11-02T18:26:30,2025-11-02T18:26:30
97,20,TC097,Off Road Car 2,,2025-11-02T18:26:30,2025-11-02T18:26:30
98,20,TC098,Fashion Car 2,,2025-11-02T18:26:30,2025-11-02T18:26:30
99,20,TC099,Drift car 2,,2025-11-02T18:26:30,2025-11-02T18:26:30
100,20,TC100,Fast Police Car (blue jeep) 2,,2025-11-02T18:26:30,2025-11-02T18:26:30
101,20,TC101,Pickup Friction Police Car 2,,2025-11-02T18:26:30,2025-11-02T18:26:30
102,20,TC102,Crazy power 2,,2025-11-02T18:26:30,2025-11-02T18:26:30
103,20,TC103,Sino Truck (Heavy loader) 2,,2025-11-02T18:26:30,2025-11-02T18:26:30
104,20,TC104,Mixer truck 2,,2025-11-02T18:26:30,2025-11-02T18:26:30
105,20,TC105,Plane 2,,2025-11-02T18:26:30,2025-11-02T18:26:30
106,20,TC106,RTE Spray (Smoke),,2025-11-02T18:26:30,2025-11-02T18:26:30
107,20,TC107,Off Road Spray (Smoke),,2025-11-02T18:26:30,2025-11-02T18:26:30
108,20,TC108,Climbing Spray (Smoke),,2025-11-02T18:26:30,2025-11-02T18:26:30
109,21,P109,Bubble Magic (Bubble Super Bubble),,2025-11-02T18:26:30,2025-11-02T18:26:30
110,21,P110,Bubble Gun,,2025-11-02T18:26:30,2025-11-02T18:26:30
111,21,P111,Yoyo,,2025-11-02T18:26:30,2025-11-02T18:26:30
112,21,P112,Rainbow Ring/Spring,,2025-11-02T18:26:30,2025-11-02T18:26:30
113,21,P113,Pom Pom Cheer Dance,,2025-11-02T18:26:30,2025-11-02T18:26:30
114,21,P114,Rattle,,2025-11-02T18:26:30,2025-11-02T18:26:30
115,21,P115,Magic Cotton (ዕቃቃ ጭቃ),,2025-11-02T18:26:30,2025-11-02T18:26:30
116,21,P116,Donut Ring,,2025-11-02T18:26:30,2025-11-02T18:26:30
117,21,P117,Flying Ball,,2025-11-02T18:26:30,2025-11-02T18:26:30
118,22,IT118,"ቡና (Coffee), Chair, mm, Barber",,2025-11-02T18:26:30,2025-11-02T18:26:30
119,22,IT119,Coffee ሲኒ ዕቃቃ,,2025-11-02T18:26:30,2025-11-02T18:26:30
120,22,IT120,Baby toy (ወንድና ሴት ሕፃን),,2025-11-02T18:26:30,2025-11-02T18:26:30
121,22,IT121,ጡጦ አሻንጉሊት,,2025-11-02T18:26:30,2025-11-02T18:26:30
122,22,IT122,Barbey ዕቃቃ,,2025-11-02T18:26:30,2025-11-02T18:26:30
123,22,IT123,Chair ዕቃቃ,,2025-11-02T18:26:30,2025-11-02T18:26:30
124,22,IT124,Fruit ዕቃቃ,,2025-11-02T18:26:30,2025-11-02T18:26:30
125,22,IT125,Doctor’s Tools,,2025-11-02T18:26:30,2025-11-02T18:26:30
126,22,IT126,ወንበር ዕቃቃ (መካከለኛ),,2025-11-02T18:26:30,2025-11-02T18:26:30
127,22,IT127,ወንበር ዕቃቃ (ትልቁ),,2025-11-02T18:26:30,2025-11-02T18:26:30
128,23,P128,Writing Pad,,2025-11-02T18:26:30,2025-11-02T18:26:30
129,23,P129,Hello Teacher,,2025-11-02T18:26:30,2025-11-02T18:26:30
130,23,P130,Study Book,,2025-11-02T18:26:30,2025-11-02T18:26:30
131,23,P131,ተማር ልጄ (ፊደል) Amh/Eng,,2025-11-02T18:26:30,2025-11-02T18:26:30
132,23,P132,Abacus,,2025-11-02T18:26:30,2025-11-02T18:26:30
133,23,P133,Puzzle,,2025-11-02T18:26:30,2025-11-02T18:26:30
134,23,P134,ABC'S የሚገለፀው,,2025-11-02T18:26:30,2025-11-02T18:26:30
135,23,P135,Board,,2025-11-02T18:26:30,2025-11-02T18:26:30
136,23,P136,Writing,,2025-11-02T18:26:30,2025-11-02T18:26:30
137,24,R137,Normal Ribbon,,2025-11-02T18:26:30,2025-11-02T18:26:30
138,24,R138,Ribbon,,2025-11-02T18:26:30,2025-11-02T18:26:30
139,25,PT139,Dog,,2025-11-02T18:26:30,2025-11-02T18:26:30
140,25,PT140,Rabbit (ባለ ሹራብ red & green),,2025-11-02T18:26:30,2025-11-02T18:26:30
141,25,PT141,Bunny Rabbit (red heart),,2025-11-02T18:26:30,2025-11-02T18:26:30
142,25,PT142,Monkey ጦጣ,,2025-11-02T18:26:30,2025-11-02T18:26:30
143,25,PT143,ለየት ያለ ፈር (ትልቁ),,2025-11-02T18:26:30,2025-11-02T18:26:30
144,25,PT144,ለየት ያለ ፈር (መካከለኛ),,2025-11-02T18:26:30,2025-11-02T18:26:30
145,25,PT145,Red Heart,,2025-11-02T18:26:30,2025-11-02T18:26:30
146,25,PT146,ባለ ሹራብ,,2025-11-02T18:26:30,2025-11-02T18:26:30
147,26,MI147,Guitar,,2025-11-02T18:26:30,2025-11-02T18:26:30
148,26,MI148,Piano ባለ ቻርጅ,,2025-11-02T18:26:30,2025-11-02T18:26:30
149,26,MI149,Piano ባለ ባትሪ,,2025-11-02T18:26:30,2025-11-02T18:26:30
150,26,MI150,ከሽከሽ,,2025-11-02T18:26:30,2025-11-02T18:26:30
151,27,T151,Crocodile toy,,2025-11-02T18:26:30,2025-11-02T18:26:30
152,27,T152,Octopus,,2025-11-02T18:26:30,2025-11-02T18:26:30
153,27,T153,Animal Paradise,,2025-11-02T18:26:30,2025-11-02T18:26:30
154,27,T154,Little Princess,,2025-11-02T18:26:30,2025-11-02T18:26:30
155,27,T155,Black African Toy,,2025-11-02T18:26:30,2025-11-02T18:26:30
156,27,T156,የሚደንስ አሻንጉሊት (Cactus),,2025-11-02T18:26:30,2025-11-02T18:26:30
157,27,T157,Africa Toy,,2025-11-02T18:26:30,2025-11-02T18:26:30
158,27,T158,African Baby,,2025-11-02T18:26:30,2025-11-02T18:26:30
159,27,T159,Beautiful Girl,,2025-11-02T18:26:30,2025-11-02T18:26:30
160,27,T160,Barbey መካከለኛ,,2025-11-02T18:26:30,2025-11-02T18:26:30
161,27,T161,Barbey ትንሹ,,2025-11-02T18:26:30,2025-11-02T18:26:30
162,27,T162,ጡጦ አሻንጉሊት (የእንጀራ እናት),,2025-11-02T18:26:30,2025-11-02T18:26:30
163,27,T163,ጡጦ አሻንጉሊት,,2025-11-02T18:26:30,2025-11-02T18:26:30
164,27,T164,ወንድ አሻንጉሊት,,2025-11-02T18:26:30,2025-11-02T18:26:30
165,27,T165,Princess Rattle,,2025-11-02T18:26:30,2025-11-02T18:26:30
166,28,IT166,ጃኖ ባለ ቻርጅ,,2025-11-02T18:26:30,2025-11-02T18:26:30
167,28,IT167,ጃኖ ባለ ባትሪ,,2025-11-02T18:26:30,2025-11-02T18:26:30
168,29,B168,Blocks (29 pc),,2025-11-02T18:26:30,2025-11-02T18:26:30
169,29,B169,Blocks (34 pc),,2025-11-02T18:26:30,2025-11-02T18:26:30
170,29,B170,Blocks (48 pc),,2025-11-02T18:26:30,2025-11-02T18:26:30
171,29,B171,Blocks (ቦርሳ),,2025-11-02T18:26:30,2025-11-02T18:26:30
172,29,B172,Puzzle (Picture),,2025-11-02T18:26:30,2025-11-02T18:26:30
173,29,B173,Magic Cube (Rubik’s Cube),,2025-11-02T18:26:30,2025-11-02T18:26:30
174,29,B174,Abacus,,2025-11-02T18:26:30,2025-11-02T18:26:30
